"Town","County","State"
"Bethel","Fairfield County","Connecticut"
"Bridgeport","Fairfield County","Connecticut"
"Brookfield","Fairfield County","Connecticut"
"Danbury","Fairfield County","Connecticut"
"Darien","Fairfield County","Connecticut"
"Easton","Fairfield County","Connecticut"
"Fairfield","Fairfield County","Connecticut"
"Greenwich","Fairfield County","Connecticut"
"Monroe","Fairfield County","Connecticut"
"New Canaan","Fairfield County","Connecticut"
"New Fairfield","Fairfield County","Connecticut"
"Newtown","Fairfield County","Connecticut"
"Norwalk","Fairfield County","Connecticut"
"Redding","Fairfield County","Connecticut"
"Ridgefield","Fairfield County","Connecticut"
"Shelton","Fairfield County","Connecticut"
"Sherman","Fairfield County","Connecticut"
"Stamford","Fairfield County","Connecticut"
"Stratford","Fairfield County","Connecticut"
"Trumbull","Fairfield County","Connecticut"
"Weston","Fairfield County","Connecticut"
"Westport","Fairfield County","Connecticut"
"Wilton","Fairfield County","Connecticut"
"Avon","Hartford County","Connecticut"
"Berlin","Hartford County","Connecticut"
"Bloomfield","Hartford County","Connecticut"
"Bristol","Hartford County","Connecticut"
"Burlington","Hartford County","Connecticut"
"Canton","Hartford County","Connecticut"
"East Granby","Hartford County","Connecticut"
"East Hartford","Hartford County","Connecticut"
"East Windsor","Hartford County","Connecticut"
"Enfield","Hartford County","Connecticut"
"Farmington","Hartford County","Connecticut"
"Glastonbury","Hartford County","Connecticut"
"Granby","Hartford County","Connecticut"
"Hartford","Hartford County","Connecticut"
"Hartland","Hartford County","Connecticut"
"Manchester","Hartford County","Connecticut"
"Marlborough","Hartford County","Connecticut"
"New Britain","Hartford County","Connecticut"
"Newington","Hartford County","Connecticut"
"Plainville","Hartford County","Connecticut"
"Rocky Hill","Hartford County","Connecticut"
"Simsbury","Hartford County","Connecticut"
"Southington","Hartford County","Connecticut"
"South Windsor","Hartford County","Connecticut"
"Suffield","Hartford County","Connecticut"
"West Hartford","Hartford County","Connecticut"
"Wethersfield","Hartford County","Connecticut"
"Windsor","Hartford County","Connecticut"
"Windsor Locks","Hartford County","Connecticut"
"Barkhamsted","Litchfield County","Connecticut"
"Bethlehem","Litchfield County","Connecticut"
"Bridgewater","Litchfield County","Connecticut"
"Canaan","Litchfield County","Connecticut"
"Colebrook","Litchfield County","Connecticut"
"Cornwall","Litchfield County","Connecticut"
"Goshen","Litchfield County","Connecticut"
"Harwinton","Litchfield County","Connecticut"
"Kent","Litchfield County","Connecticut"
"Litchfield","Litchfield County","Connecticut"
"Morris","Litchfield County","Connecticut"
"New Hartford","Litchfield County","Connecticut"
"New Milford","Litchfield County","Connecticut"
"Norfolk","Litchfield County","Connecticut"
"North Canaan","Litchfield County","Connecticut"
"Plymouth","Litchfield County","Connecticut"
"Roxbury","Litchfield County","Connecticut"
"Salisbury","Litchfield County","Connecticut"
"Sharon","Litchfield County","Connecticut"
"Thomaston","Litchfield County","Connecticut"
"Torrington","Litchfield County","Connecticut"
"Warren","Litchfield County","Connecticut"
"Washington","Litchfield County","Connecticut"
"Watertown","Litchfield County","Connecticut"
"Winchester","Litchfield County","Connecticut"
"Woodbury","Litchfield County","Connecticut"
"Chester","Middlesex County","Connecticut"
"Clinton","Middlesex County","Connecticut"
"Cromwell","Middlesex County","Connecticut"
"Deep River","Middlesex County","Connecticut"
"Durham","Middlesex County","Connecticut"
"East Haddam","Middlesex County","Connecticut"
"East Hampton","Middlesex County","Connecticut"
"Essex","Middlesex County","Connecticut"
"Haddam","Middlesex County","Connecticut"
"Killingworth","Middlesex County","Connecticut"
"Middlefield","Middlesex County","Connecticut"
"Middletown","Middlesex County","Connecticut"
"Old Saybrook","Middlesex County","Connecticut"
"Portland","Middlesex County","Connecticut"
"Westbrook","Middlesex County","Connecticut"
"Ansonia","New Haven County","Connecticut"
